TIMESTAMP: 8.600000, X: 1.010150, Y: 13.690149, Z: -8.948989, PITCH: 0.073364, YAW: -2.421195
TIMESTAMP: 8.700000, X: 0.828693, Y: 13.644400, Z: -8.962848, PITCH: 0.067704, YAW: -2.434656
TIMESTAMP: 8.800000, X: 0.650189, Y: 13.599254, Z: -8.976438, PITCH: 0.062090, YAW: -2.448008
TIMESTAMP: 8.900000, X: 0.475150, Y: 13.554837, Z: -8.989645, PITCH: 0.056552, YAW: -2.461180
TIMESTAMP: 9.000000, X: 0.304072, Y: 13.511283, Z: -9.002360, PITCH: 0.050991, YAW: -2.474408
TIMESTAMP: 9.100000, X: 0.137423, Y: 13.468740, Z: -9.014483, PITCH: 0.045392, YAW: -2.487722
TIMESTAMP: 9.200000, X: -0.024350, Y: 13.427370, Z: -9.025920, PITCH: 0.039805, YAW: -2.501005
TIMESTAMP: 9.300000, X: -0.180830, Y: 13.387341, Z: -9.036585, PITCH: 0.034236, YAW: -2.514256
TIMESTAMP: 9.400000, X: -0.331624, Y: 13.348833, Z: -9.046399, PITCH: 0.028659, YAW: -2.527530
TIMESTAMP: 9.500000, X: -0.476366, Y: 13.312032, Z: -9.055290, PITCH: 0.023078, YAW: -2.540792
TIMESTAMP: 9.600000, X: -0.614723, Y: 13.277128, Z: -9.063193, PITCH: 0.017503, YAW: -2.554033
TIMESTAMP: 9.700000, X: -0.746386, Y: 13.244319, Z: -9.070050, PITCH: 0.011920, YAW: -2.567332
TIMESTAMP: 9.800000, X: -0.871080, Y: 13.213802, Z: -9.075810, PITCH: 0.006331, YAW: -2.580661
TIMESTAMP: 9.900000, X: -0.988560, Y: 13.185776, Z: -9.080428, PITCH: 0.000765, YAW: -2.593860
TIMESTAMP: 10.000000, X: -1.098609, Y: 13.160439, Z: -9.083863, PITCH: -0.004792, YAW: -2.607009
TIMESTAMP: 10.100000, X: -1.201043, Y: 13.137986, Z: -9.086084, PITCH: -0.010396, YAW: -2.620412
TIMESTAMP: 10.200000, X: -1.295709, Y: 13.118607, Z: -9.087062, PITCH: -0.016017, YAW: -2.633907
TIMESTAMP: 10.300000, X: -1.382483, Y: 13.102485, Z: -9.086773, PITCH: -0.021547, YAW: -2.646917
TIMESTAMP: 10.400000, X: -1.461275, Y: 13.089796, Z: -9.085198, PITCH: -0.027045, YAW: -2.659760
TIMESTAMP: 10.500000, X: -1.532020, Y: 13.080705, Z: -9.082323, PITCH: -0.032716, YAW: -2.673512
TIMESTAMP: 10.600000, X: -1.594689, Y: 13.075365, Z: -9.078137, PITCH: -0.038445, YAW: -2.687576
TIMESTAMP: 10.700000, X: -1.649278, Y: 13.073917, Z: -9.072632, PITCH: -0.043852, YAW: -2.699939
TIMESTAMP: 10.800000, X: -1.695814, Y: 13.076486, Z: -9.065802, PITCH: -0.049150, YAW: -2.711727
TIMESTAMP: 10.900000, X: -1.734353, Y: 13.083180, Z: -9.057645, PITCH: -0.055048, YAW: -2.726678
TIMESTAMP: 11.000000, X: -1.764976, Y: 13.094091, Z: -9.048160, PITCH: -0.061133, YAW: -2.742621
TIMESTAMP: 11.100000, X: -1.787795, Y: 13.109291, Z: -9.037347, PITCH: -0.066137, YAW: -2.752853
TIMESTAMP: 11.200000, X: -1.802943, Y: 13.128831, Z: -9.025207, PITCH: -0.070920, YAW: -2.761919
TIMESTAMP: 11.300000, X: -1.810583, Y: 13.152742, Z: -9.011745, PITCH: -0.077387, YAW: -2.779882
TIMESTAMP: 11.400000, X: -1.810899, Y: 13.181033, Z: -8.996961, PITCH: -0.082353, YAW: -2.789911
TIMESTAMP: 11.500000, X: -1.804100, Y: 13.213690, Z: -8.980860, PITCH: -0.080783, YAW: -2.765426
TIMESTAMP: 11.600000, X: -1.790416, Y: 13.250677, Z: -8.963444, PITCH: -0.075590, YAW: -2.721824
TIMESTAMP: 11.700000, X: -1.770099, Y: 13.291933, Z: -8.944716, PITCH: -0.072408, YAW: -2.688850
TIMESTAMP: 11.800000, X: -1.743419, Y: 13.337375, Z: -8.924678, PITCH: -0.071069, YAW: -2.665552
TIMESTAMP: 11.900000, X: -1.710667, Y: 13.386897, Z: -8.903332, PITCH: -0.068756, YAW: -2.637124
TIMESTAMP: 12.000000, X: -1.672149, Y: 13.440368, Z: -8.880679, PITCH: -0.065469, YAW: -2.603621
TIMESTAMP: 12.100000, X: -1.628191, Y: 13.497637, Z: -8.856719, PITCH: -0.062692, YAW: -2.572787
TIMESTAMP: 12.200000, X: -1.579130, Y: 13.558530, Z: -8.831451, PITCH: -0.060434, YAW: -2.544629
TIMESTAMP: 12.300000, X: -1.525319, Y: 13.622850, Z: -8.804875, PITCH: -0.057906, YAW: -2.515064
TIMESTAMP: 12.400000, X: -1.467121, Y: 13.690383, Z: -8.776987, PITCH: -0.055099, YAW: -2.484090
TIMESTAMP: 12.500000, X: -1.404913, Y: 13.760894, Z: -8.747786, PITCH: -0.052437, YAW: -2.453858
TIMESTAMP: 12.600000, X: -1.339079, Y: 13.834128, Z: -8.717268, PITCH: -0.049924, YAW: -2.424366
TIMESTAMP: 12.700000, X: -1.270013, Y: 13.909816, Z: -8.685428, PITCH: -0.047334, YAW: -2.394484
TIMESTAMP: 12.800000, X: -1.198114, Y: 13.987672, Z: -8.652264, PITCH: -0.044663, YAW: -2.364214
TIMESTAMP: 12.900000, X: -1.123788, Y: 14.067394, Z: -8.617769, PITCH: -0.042033, YAW: -2.334148
TIMESTAMP: 13.000000, X: -1.047446, Y: 14.148669, Z: -8.581940, PITCH: -0.039449, YAW: -2.304287
TIMESTAMP: 13.100000, X: -0.969498, Y: 14.231173, Z: -8.544772, PITCH: -0.036842, YAW: -2.274319
TIMESTAMP: 13.200000, X: -0.890358, Y: 14.314570, Z: -8.506259, PITCH: -0.034208, YAW: -2.244240
TIMESTAMP: 13.300000, X: -0.810440, Y: 14.398518, Z: -8.466399, PITCH: -0.031586, YAW: -2.214215
TIMESTAMP: 13.400000, X: -0.730156, Y: 14.482668, Z: -8.425186, PITCH: -0.028984, YAW: -2.184260
TIMESTAMP: 13.500000, X: -0.649915, Y: 14.566665, Z: -8.382619, PITCH: -0.026376, YAW: -2.154277
TIMESTAMP: 13.600000, X: -0.570122, Y: 14.650154, Z: -8.338695, PITCH: -0.023746, YAW: -2.124235
TIMESTAMP: 13.700000, X: -0.491176, Y: 14.732775, Z: -8.293413, PITCH: -0.021119, YAW: -2.094208
TIMESTAMP: 13.800000, X: -0.413469, Y: 14.814173, Z: -8.246773, PITCH: -0.018525, YAW: -2.064254
TIMESTAMP: 13.900000, X: -0.337388, Y: 14.893991, Z: -8.198776, PITCH: -0.015929, YAW: -2.034294
TIMESTAMP: 14.000000, X: -0.263307, Y: 14.971879, Z: -8.149425, PITCH: -0.013277, YAW: -2.004212
TIMESTAMP: 14.100000, X: -0.191591, Y: 15.047493, Z: -8.098725, PITCH: -0.010626, YAW: -1.974132
TIMESTAMP: 14.200000, X: -0.122593, Y: 15.120496, Z: -8.046682, PITCH: -0.008077, YAW: -1.944276
TIMESTAMP: 14.300000, X: -0.056655, Y: 15.190559, Z: -7.993305, PITCH: -0.005527, YAW: -1.914419
TIMESTAMP: 14.400000, X: 0.005898, Y: 15.257366, Z: -7.938602, PITCH: -0.002788, YAW: -1.884141
TIMESTAMP: 14.500000, X: 0.064753, Y: 15.320613, Z: -7.882586, PITCH: -0.000052, YAW: -1.853862
TIMESTAMP: 14.600000, X: 0.119614, Y: 15.380009, Z: -7.825271, PITCH: 0.002335, YAW: -1.824381
TIMESTAMP: 14.700000, X: 0.170202, Y: 15.435281, Z: -7.766673, PITCH: 0.004725, YAW: -1.794900
TIMESTAMP: 14.800000, X: 0.216257, Y: 15.486170, Z: -7.706811, PITCH: 0.007766, YAW: -1.763916
TIMESTAMP: 14.900000, X: 0.257533, Y: 15.532436, Z: -7.645703, PITCH: 0.010795, YAW: -1.732948
TIMESTAMP: 15.000000, X: 0.293809, Y: 15.573861, Z: -7.583373, PITCH: 0.012632, YAW: -1.704759
TIMESTAMP: 15.100000, X: 0.324880, Y: 15.610244, Z: -7.519844, PITCH: 0.014540, YAW: -1.676416
TIMESTAMP: 15.200000, X: 0.350564, Y: 15.641406, Z: -7.455140, PITCH: 0.018451, YAW: -1.643379
TIMESTAMP: 15.300000, X: 0.370697, Y: 15.667192, Z: -7.389289, PITCH: 0.020982, YAW: -1.613574
TIMESTAMP: 15.400000, X: 0.385140, Y: 15.687468, Z: -7.322320, PITCH: 0.016430, YAW: -1.600410
TIMESTAMP: 15.500000, X: 0.393775, Y: 15.702124, Z: -7.254259, PITCH: 0.006536, YAW: -1.599799
TIMESTAMP: 15.600000, X: 0.396505, Y: 15.711074, Z: -7.185138, PITCH: -0.002414, YAW: -1.596971
TIMESTAMP: 15.700000, X: 0.393257, Y: 15.714255, Z: -7.114985, PITCH: -0.008959, YAW: -1.588492
TIMESTAMP: 15.800000, X: 0.383980, Y: 15.711629, Z: -7.043831, PITCH: -0.015857, YAW: -1.580841
TIMESTAMP: 15.900000, X: 0.368647, Y: 15.703183, Z: -6.971704, PITCH: -0.023991, YAW: -1.576095
TIMESTAMP: 16.000000, X: 0.347253, Y: 15.688925, Z: -6.898631, PITCH: -0.031954, YAW: -1.570946
TIMESTAMP: 16.100000, X: 0.319814, Y: 15.668889, Z: -6.824640, PITCH: -0.039261, YAW: -1.564258
TIMESTAMP: 16.200000, X: 0.286373, Y: 15.643132, Z: -6.749754, PITCH: -0.046657, YAW: -1.557780
TIMESTAMP: 16.300000, X: 0.246991, Y: 15.611733, Z: -6.673995, PITCH: -0.054404, YAW: -1.552124
TIMESTAMP: 16.400000, X: 0.201754, Y: 15.574792, Z: -6.597381, PITCH: -0.062105, YAW: -1.546355
TIMESTAMP: 16.500000, X: 0.150767, Y: 15.532433, Z: -6.519928, PITCH: -0.069616, YAW: -1.540148
TIMESTAMP: 16.600000, X: 0.094159, Y: 15.484797, Z: -6.441647, PITCH: -0.077150, YAW: -1.534003
TIMESTAMP: 16.700000, X: 0.032079, Y: 15.432048, Z: -6.362543, PITCH: -0.084790, YAW: -1.528088
TIMESTAMP: 16.800000, X: -0.035305, Y: 15.374366, Z: -6.282619, PITCH: -0.092419, YAW: -1.522139
TIMESTAMP: 16.900000, X: -0.107804, Y: 15.311950, Z: -6.201871, PITCH: -0.099986, YAW: -1.516072
TIMESTAMP: 17.000000, X: -0.185212, Y: 15.245015, Z: -6.120287, PITCH: -0.107553, YAW: -1.510027
TIMESTAMP: 17.100000, X: -0.267303, Y: 15.173791, Z: -6.037853, PITCH: -0.115167, YAW: -1.504035
TIMESTAMP: 17.200000, X: -0.353834, Y: 15.098522, Z: -5.954544, PITCH: -0.122789, YAW: -1.498024
TIMESTAMP: 17.300000, X: -0.444548, Y: 15.019466, Z: -5.870332, PITCH: -0.130361, YAW: -1.492005
TIMESTAMP: 17.400000, X: -0.539170, Y: 14.936890, Z: -5.785180, PITCH: -0.137914, YAW: -1.486007
TIMESTAMP: 17.500000, X: -0.637413, Y: 14.851073, Z: -5.699042, PITCH: -0.145539, YAW: -1.479979
TIMESTAMP: 17.600000, X: -0.738974, Y: 14.762302, Z: -5.611867, PITCH: -0.153203, YAW: -1.473915
TIMESTAMP: 17.700000, X: -0.843542, Y: 14.670872, Z: -5.523595, PITCH: -0.160743, YAW: -1.467936
TIMESTAMP: 17.800000, X: -0.950792, Y: 14.577083, Z: -5.434159, PITCH: -0.168207, YAW: -1.462020
TIMESTAMP: 17.900000, X: -1.060391, Y: 14.481240, Z: -5.343484, PITCH: -0.175899, YAW: -1.455930
TIMESTAMP: 18.000000, X: -1.171998, Y: 14.383651, Z: -5.251489, PITCH: -0.183753, YAW: -1.449711
TIMESTAMP: 18.100000, X: -1.285265, Y: 14.284626, Z: -5.158083, PITCH: -0.191153, YAW: -1.443847
TIMESTAMP: 18.200000, X: -1.399838, Y: 14.184475, Z: -5.063172, PITCH: -0.198071, YAW: -1.438365
TIMESTAMP: 18.300000, X: -1.515362, Y: 14.083507, Z: -4.966651, PITCH: -0.205790, YAW: -1.432251
TIMESTAMP: 18.400000, X: -1.631477, Y: 13.982029, Z: -4.868414, PITCH: -0.215555, YAW: -1.424518
TIMESTAMP: 18.500000, X: -1.747823, Y: 13.880343, Z: -4.768347, PITCH: -0.226911, YAW: -1.415522
TIMESTAMP: 18.600000, X: -1.864043, Y: 13.778746, Z: -4.666331, PITCH: -0.238340, YAW: -1.406465
TIMESTAMP: 18.700000, X: -1.979781, Y: 13.677531, Z: -4.562245, PITCH: -0.249215, YAW: -1.397851
TIMESTAMP: 18.800000, X: -2.094686, Y: 13.576982, Z: -4.455966, PITCH: -0.260026, YAW: -1.389292
TIMESTAMP: 18.900000, X: -2.208415, Y: 13.477374, Z: -4.347366, PITCH: -0.271092, YAW: -1.380526
TIMESTAMP: 19.000000, X: -2.320631, Y: 13.378972, Z: -4.236321, PITCH: -0.282175, YAW: -1.371738
TIMESTAMP: 19.100000, X: -2.431009, Y: 13.282032, Z: -4.122705, PITCH: -0.293150, YAW: -1.363045
TIMESTAMP: 19.200000, X: -2.539233, Y: 13.186797, Z: -4.006394, PITCH: -0.304155, YAW: -1.354344
TIMESTAMP: 19.300000, X: -2.645003, Y: 13.093497, Z: -3.887269, PITCH: -0.315170, YAW: -1.345616
TIMESTAMP: 19.400000, X: -2.748032, Y: 13.002351, Z: -3.765213, PITCH: -0.326095, YAW: -1.336932
TIMESTAMP: 19.500000, X: -2.848051, Y: 12.913559, Z: -3.640117, PITCH: -0.337102, YAW: -1.328215
TIMESTAMP: 19.600000, X: -2.944809, Y: 12.827312, Z: -3.511879, PITCH: -0.348297, YAW: -1.319405
TIMESTAMP: 19.700000, X: -3.038073, Y: 12.743780, Z: -3.380404, PITCH: -0.359282, YAW: -1.310696
TIMESTAMP: 19.800000, X: -3.127632, Y: 12.663120, Z: -3.245608, PITCH: -0.369910, YAW: -1.302171
TIMESTAMP: 19.900000, X: -3.213297, Y: 12.585471, Z: -3.107420, PITCH: -0.380958, YAW: -1.293432
TIMESTAMP: 20.000000, X: -3.294900, Y: 12.510955, Z: -2.965777, PITCH: -0.392664, YAW: -1.284354
TIMESTAMP: 20.100000, X: -3.372300, Y: 12.439678, Z: -2.820634, PITCH: -0.403575, YAW: -1.275685
TIMESTAMP: 20.200000, X: -3.445377, Y: 12.371725, Z: -2.671958, PITCH: -0.413377, YAW: -1.267588
TIMESTAMP: 20.300000, X: -3.514039, Y: 12.307167, Z: -2.519734, PITCH: -0.424642, YAW: -1.258736
TIMESTAMP: 20.400000, X: -3.578218, Y: 12.246055, Z: -2.363961, PITCH: -0.436623, YAW: -1.249515
TIMESTAMP: 20.500000, X: -3.637870, Y: 12.188422, Z: -2.204658, PITCH: -0.442516, YAW: -1.243435
TIMESTAMP: 20.600000, X: -3.692979, Y: 12.134284, Z: -2.041862, PITCH: -0.441333, YAW: -1.241007
TIMESTAMP: 20.700000, X: -3.743554, Y: 12.083640, Z: -1.875629, PITCH: -0.440165, YAW: -1.238572
TIMESTAMP: 20.800000, X: -3.789626, Y: 12.036471, Z: -1.706034, PITCH: -0.442165, YAW: -1.234501
TIMESTAMP: 20.900000, X: -3.831252, Y: 11.992742, Z: -1.533174, PITCH: -0.444277, YAW: -1.230370
TIMESTAMP: 21.000000, X: -3.868512, Y: 11.952402, Z: -1.357166, PITCH: -0.444756, YAW: -1.227085
TIMESTAMP: 21.100000, X: -3.901507, Y: 11.915384, Z: -1.178145, PITCH: -0.445161, YAW: -1.223841
TIMESTAMP: 21.200000, X: -3.930358, Y: 11.881606, Z: -0.996271, PITCH: -0.446434, YAW: -1.220144
TIMESTAMP: 21.300000, X: -3.955208, Y: 11.850972, Z: -0.811722, PITCH: -0.447749, YAW: -1.216420
TIMESTAMP: 21.400000, X: -3.976216, Y: 11.823375, Z: -0.624697, PITCH: -0.448598, YAW: -1.212945
TIMESTAMP: 21.500000, X: -3.993555, Y: 11.798692, Z: -0.435416, PITCH: -0.449423, YAW: -1.209493
TIMESTAMP: 21.600000, X: -4.007417, Y: 11.776790, Z: -0.244119, PITCH: -0.450500, YAW: -1.205893
TIMESTAMP: 21.700000, X: -4.018003, Y: 11.757527, Z: -0.051066, PITCH: -0.451595, YAW: -1.202267
TIMESTAMP: 21.800000, X: -4.025528, Y: 11.740749, Z: 0.143467, PITCH: -0.452548, YAW: -1.198745
TIMESTAMP: 21.900000, X: -4.030214, Y: 11.726295, Z: 0.339181, PITCH: -0.453484, YAW: -1.195266
TIMESTAMP: 22.000000, X: -4.032293, Y: 11.713995, Z: 0.535764, PITCH: -0.454508, YAW: -1.191682
TIMESTAMP: 22.100000, X: -4.032001, Y: 11.703676, Z: 0.732885, PITCH: -0.455555, YAW: -1.188025
TIMESTAMP: 22.200000, X: -4.029579, Y: 11.695155, Z: 0.930198, PITCH: -0.456532, YAW: -1.184512
TIMESTAMP: 22.300000, X: -4.025269, Y: 11.688248, Z: 1.127344, PITCH: -0.457476, YAW: -1.181116
TIMESTAMP: 22.400000, X: -4.019317, Y: 11.682765, Z: 1.323950, PITCH: -0.458498, YAW: -1.177491
