TIMESTAMP: 9.800000, X: 8.604384, Y: 11.307518, Z: -6.244592, PITCH: 0.451528, YAW: 1.572282
TIMESTAMP: 9.900000, X: 8.639835, Y: 11.297166, Z: -6.284713, PITCH: 0.452326, YAW: 1.584203
TIMESTAMP: 10.000000, X: 8.673780, Y: 11.283359, Z: -6.316303, PITCH: 0.454024, YAW: 1.598063
TIMESTAMP: 10.100000, X: 8.706176, Y: 11.266150, Z: -6.339176, PITCH: 0.457040, YAW: 1.614769
TIMESTAMP: 10.200000, X: 8.736975, Y: 11.245594, Z: -6.353178, PITCH: 0.458297, YAW: 1.627678
TIMESTAMP: 10.300000, X: 8.766126, Y: 11.221745, Z: -6.358191, PITCH: 0.454456, YAW: 1.629584
TIMESTAMP: 10.400000, X: 8.793574, Y: 11.194657, Z: -6.354130, PITCH: 0.446643, YAW: 1.622915
TIMESTAMP: 10.500000, X: 8.819259, Y: 11.164385, Z: -6.340947, PITCH: 0.438795, YAW: 1.616170
TIMESTAMP: 10.600000, X: 8.843121, Y: 11.130984, Z: -6.318629, PITCH: 0.432442, YAW: 1.612650
TIMESTAMP: 10.700000, X: 8.865098, Y: 11.094510, Z: -6.287197, PITCH: 0.426207, YAW: 1.609388
TIMESTAMP: 10.800000, X: 8.885124, Y: 11.055019, Z: -6.246707, PITCH: 0.419237, YAW: 1.604539
TIMESTAMP: 10.900000, X: 8.903137, Y: 11.012568, Z: -6.197249, PITCH: 0.412193, YAW: 1.599529
TIMESTAMP: 11.000000, X: 8.919073, Y: 10.967215, Z: -6.138948, PITCH: 0.405535, YAW: 1.595352
TIMESTAMP: 11.100000, X: 8.932871, Y: 10.919021, Z: -6.071958, PITCH: 0.398917, YAW: 1.591263
TIMESTAMP: 11.200000, X: 8.944473, Y: 10.868048, Z: -5.996464, PITCH: 0.392095, YAW: 1.586731
TIMESTAMP: 11.300000, X: 8.953825, Y: 10.814360, Z: -5.912684, PITCH: 0.385249, YAW: 1.582151
TIMESTAMP: 11.400000, X: 8.960877, Y: 10.758022, Z: -5.820859, PITCH: 0.378514, YAW: 1.577808
TIMESTAMP: 11.500000, X: 8.965586, Y: 10.699103, Z: -5.721260, PITCH: 0.371791, YAW: 1.573491
TIMESTAMP: 11.600000, X: 8.967915, Y: 10.637676, Z: -5.614180, PITCH: 0.365009, YAW: 1.569047
TIMESTAMP: 11.700000, X: 8.967837, Y: 10.573815, Z: -5.499937, PITCH: 0.358220, YAW: 1.564589
TIMESTAMP: 11.800000, X: 8.965331, Y: 10.507599, Z: -5.378867, PITCH: 0.351463, YAW: 1.560199
