TIMESTAMP: 14.600000, X: 8.674143, Y: 3.977285, Z: -2.717662, PITCH: 0.260833, YAW: -2.633884
TIMESTAMP: 14.700000, X: 8.726925, Y: 3.792049, Z: -2.734195, PITCH: 0.264245, YAW: -2.655731
TIMESTAMP: 14.800000, X: 8.775812, Y: 3.605470, Z: -2.748651, PITCH: 0.267572, YAW: -2.677766
TIMESTAMP: 14.900000, X: 8.820693, Y: 3.417863, Z: -2.761227, PITCH: 0.270880, YAW: -2.699929
TIMESTAMP: 15.000000, X: 8.861458, Y: 3.229544, Z: -2.772129, PITCH: 0.274228, YAW: -2.721947
TIMESTAMP: 15.100000, X: 8.897998, Y: 3.040821, Z: -2.781570, PITCH: 0.277569, YAW: -2.743789
TIMESTAMP: 15.200000, X: 8.930205, Y: 2.851998, Z: -2.789770, PITCH: 0.280901, YAW: -2.765787
TIMESTAMP: 15.300000, X: 8.957971, Y: 2.663374, Z: -2.796954, PITCH: 0.284277, YAW: -2.788140
TIMESTAMP: 15.400000, X: 8.981190, Y: 2.475239, Z: -2.803351, PITCH: 0.287644, YAW: -2.810331
TIMESTAMP: 15.500000, X: 8.999758, Y: 2.287875, Z: -2.809193, PITCH: 0.290868, YAW: -2.831547
TIMESTAMP: 15.600000, X: 9.013573, Y: 2.101555, Z: -2.814712, PITCH: 0.293925, YAW: -2.851716
TIMESTAMP: 15.700000, X: 9.022536, Y: 1.916539, Z: -2.820141, PITCH: 0.296944, YAW: -2.871607
TIMESTAMP: 15.800000, X: 9.026551, Y: 1.733079, Z: -2.825710, PITCH: 0.300007, YAW: -2.891783
TIMESTAMP: 15.900000, X: 9.025525, Y: 1.551409, Z: -2.831646, PITCH: 0.303079, YAW: -2.912094
TIMESTAMP: 16.000000, X: 9.019373, Y: 1.371749, Z: -2.838171, PITCH: 0.306134, YAW: -2.932279
TIMESTAMP: 16.100000, X: 9.008015, Y: 1.194304, Z: -2.845499, PITCH: 0.309207, YAW: -2.952411
TIMESTAMP: 16.200000, X: 8.991377, Y: 1.019261, Z: -2.853837, PITCH: 0.312281, YAW: -2.972601
TIMESTAMP: 16.300000, X: 8.969393, Y: 0.846784, Z: -2.863381, PITCH: 0.315304, YAW: -2.992786
TIMESTAMP: 16.400000, X: 8.942008, Y: 0.677019, Z: -2.874316, PITCH: 0.318341, YAW: -3.012951
TIMESTAMP: 16.500000, X: 8.909176, Y: 0.510091, Z: -2.886813, PITCH: 0.321482, YAW: -3.033183
TIMESTAMP: 16.600000, X: 8.870862, Y: 0.346100, Z: -2.901031, PITCH: 0.324589, YAW: -3.053403
TIMESTAMP: 16.700000, X: 8.827044, Y: 0.185120, Z: -2.917110, PITCH: 0.327496, YAW: -3.073469
TIMESTAMP: 16.800000, X: 8.777711, Y: 0.027204, Z: -2.935174, PITCH: 0.330470, YAW: -3.093582
TIMESTAMP: 16.900000, X: 8.722870, Y: -0.127623, Z: -2.955332, PITCH: 0.333823, YAW: -3.113999
